city	total_waves	wave_order	peak	indexes	dates	case_numbers
Osasco	4	1	165	0,1,2,4,4,5,6,7,9,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	2020-w11,2020-w12,2020-w13,2020-w15,2020-w15,2020-w16,2020-w17,2020-w18,2020-w20,2020-w20,2020-w22,2020-w23,2020-w24,2020-w25,2020-w26,2020-w27,2020-w28,2020-w29,2020-w30,2020-w31,2020-w32,2020-w33,2020-w34,2020-w35,2020-w36,2020-w37,2020-w38,2020-w39,2020-w40,2020-w41,2020-w42	1,5,26,49,49,85,152,166,145,145,123,116,104,108,69,93,90,85,64,76,65,62,53,52,43,49,40,29,24,18,14
Osasco	4	2	64	33,34,35,36,38,38,40,41,44,45,46,47	2020-w44,2020-w45,2020-w46,2020-w47,2020-w49,2020-w49,2020-w51,2020-w52,2021-w02,2021-w03,2021-w04,2021-w05	20,27,37,51,51,51,61,53,70,78,47,63
Osasco	4	3	166	49,50,51,52,53,54,56,56,57,59,61,62,63,64,65,66,67,68,69,70,71,72,73	2021-w07,2021-w08,2021-w09,2021-w10,2021-w11,2021-w12,2021-w14,2021-w14,2021-w15,2021-w17,2021-w19,2021-w20,2021-w21,2021-w22,2021-w23,2021-w24,2021-w25,2021-w26,2021-w27,2021-w28,2021-w29,2021-w30,2021-w31	98,114,129,152,197,214,151,151,153,145,144,153,152,149,124,119,107,74,73,61,41,42,36
Osasco	4	4	28	75,77,77,79,80,81,82,83,84,85,86,87,88,89,90	2021-w33,2021-w35,2021-w35,2021-w37,2021-w38,2021-w39,2021-w40,2021-w41,2021-w42,2021-w43,2021-w44,2021-w45,2021-w46,2021-w47,2021-w48	32,27,27,22,17,23,10,9,7,16,7,11,9,3,2
Itapevi	3	1	66	0,1,2,3,4,5,7,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25	2020-w12,2020-w13,2020-w14,2020-w15,2020-w16,2020-w17,2020-w19,2020-w19,2020-w20,2020-w22,2020-w23,2020-w24,2020-w25,2020-w26,2020-w27,2020-w28,2020-w29,2020-w30,2020-w31,2020-w32,2020-w33,2020-w34,2020-w35,2020-w36,2020-w37	5,5,13,16,24,36,26,26,48,63,49,41,36,33,14,24,20,16,16,13,5,4,9,4,2
Itapevi	3	2	53	27,28,30,30,31,33,33,34,36,36,38,38,39,40,41,43,43,45,45,46,47,49,49,50,52,53,54,55,56	2020-w39,2020-w40,2020-w43,2020-w43,2020-w44,2020-w46,2020-w46,2020-w47,2020-w49,2020-w49,2020-w51,2020-w51,2020-w52,2020-w53,2021-w01,2021-w03,2021-w03,2021-w05,2021-w05,2021-w06,2021-w07,2021-w09,2021-w09,2021-w10,2021-w12,2021-w13,2021-w14,2021-w15,2021-w16	2,3,2,2,3,3,3,4,6,6,5,5,6,6,6,7,7,6,6,9,22,21,21,37,33,30,19,27,15
Itapevi	3	3	21	58,59,60,62,62,64,66,67,68,69,70,71,72,73	2021-w18,2021-w19,2021-w20,2021-w22,2021-w22,2021-w24,2021-w26,2021-w27,2021-w28,2021-w29,2021-w30,2021-w31,2021-w32,2021-w33	14,15,20,15,15,14,9,9,7,4,6,1,4,2
Bauru	5	1	12	0,1,2,4,5,6,7	2020-w12,2020-w13,2020-w14,2020-w16,2020-w17,2020-w18,2020-w19	3,5,9,11,9,19,16
Bauru	5	2	73	9,10,11,13,13,14,15,16,17,18,20,21,22	2020-w21,2020-w22,2020-w23,2020-w25,2020-w25,2020-w26,2020-w27,2020-w28,2020-w29,2020-w30,2020-w32,2020-w33,2020-w34	14,23,25,29,29,36,47,49,50,65,68,61,61
Bauru	5	3	73	24,25,26,27,29,30,31,32	2020-w36,2020-w37,2020-w38,2020-w39,2020-w41,2020-w42,2020-w43,2020-w44	52,53,65,70,53,36,39,26
